model,n_folds,fold,mae,mse,rmse,r2,r,y_pred,y_test
random_forest,5,1,5.220042382127077,39.380555277732505,6.275392838518758,0.37211487060986026,0.6317835801324879,"[26.52026764 20.11975179 21.06804346 25.93038939 17.96185178 24.25873044
 24.04443558 23.50538884 26.16185539 25.43445851 27.10584015 20.30482058
 26.42385561 17.09061133 26.38418578 27.15212071 26.08539442 25.17761149
 24.09040661 26.18039017 26.0036723  25.45015075 26.20027262 19.53543977
 25.0602949  17.30935241 26.94881146 27.30046716 26.39676385 26.84213932
 26.5578628  26.82161553 25.74702723 26.03757069 26.69500786 17.86716677
 26.67342104 22.84675513 26.06097604 22.54584034 26.99374527 17.07279956
 22.88205806 25.9159302  27.23109333 17.01805728 26.59394153 27.00249708
 20.3592196  17.59071393 27.20850331 18.71934755 26.51183995 25.3125896
 19.22596909 26.75463709 19.8329996  24.98958693 19.93421255 25.96309015
 17.63440227 20.37644726 26.25747112 19.30140234 26.06679246 26.88370019
 26.93850364 16.7828518  26.69701782 17.64833571 21.78272922 25.56742897
 16.89435342 25.0415358  22.85877943 17.21789303 26.41774763 26.42406599
 27.29306164 17.30561193 17.23989171 26.74607133 18.85352306 22.65467273
 18.30906756 19.88123221 26.80408383 20.17312151 18.00009454 26.54547483
 16.8663613  26.10143994 17.67649492 23.80268784 26.92030863 27.06343232
 19.71070345 26.78034303 19.08162398 17.8500593  26.70261674 26.94509334
 26.94208256 16.8684091  26.22835235 18.50633046 25.06705177 19.88165656
 25.31118972 24.28642798 17.29858242 24.34819232 26.33443123 26.54350926
 16.88383809 26.48709074 25.90045899 24.16892047 17.2271398  26.5528901
 25.60131249 17.04051678 21.13320986 23.88588616 25.75086655 26.49781117
 25.22222764 26.9606872  26.82044405 20.94309917 19.88354309 26.09638489
 22.04618868 16.81240998 26.51561813 25.81291814 26.12713443 22.48766477
 17.28470342 26.70325153 20.3091127  26.15560729 21.61221291 20.92791752
 25.21665212 22.20370136 27.24828232 20.12295017 20.23047408 26.46845074
 26.645625   25.586561   27.14037862 27.29057282 23.6687084  27.26710571
 16.88155699 17.24751154 25.62335971 26.73265688 25.08187145 26.55730038
 18.20000093 16.7828518  16.88383809 17.94951152 26.96111833 25.66348458
 17.93518434 16.92200061 23.23328785 17.3969267  26.34652773 22.91176015
 17.12978697 26.44638885 25.95926481 25.96813041 17.9062445  16.98859623
 26.56542012 17.02321519 26.31715614 26.98853688 16.7828518  17.26363026
 25.62016438 25.25586539 26.33923547 25.96143423]","0      29.0
1      28.0
2      16.0
3      30.0
4      15.0
       ...
185    19.0
186    20.0
187    34.0
188    25.0
189    30.0
Name: swls, Length: 190, dtype: float64"
random_forest,5,2,4.712820525837855,33.1659961812374,5.758992635977007,0.3888524400154001,0.6378882824796603,"[27.26490757 25.19051218 20.91561342 23.98970586 26.45465623 21.25885179
 25.96937967 16.96051341 24.27528511 17.22105236 19.5411276  26.41987789
 22.99448639 26.0657956  26.15698752 26.57158398 26.2903483  22.9028998
 25.60626709 25.72127105 26.84571129 17.09428227 16.91968613 25.1135016
 26.37589146 24.98488991 26.1769989  26.85975221 25.18001723 26.18401626
 26.27797541 26.5969892  27.27874083 25.88454906 26.70463601 27.02298324
 26.91037248 26.77870682 19.06984489 27.15707883 25.99917069 24.96380305
 27.23518117 19.07446126 26.68859996 17.07442784 26.43960644 26.92993073
 20.62492839 26.31090788 27.02914695 25.96973774 26.57111529 26.19059001
 23.36402753 17.29067187 19.09236601 18.65403061 25.57795882 20.10722847
 26.71465709 26.58319402 26.09935667 25.87333343 25.51904911 17.05191851
 26.58662884 19.60373801 23.71942907 20.06984496 17.56602148 26.7676155
 26.31803718 17.87331948 26.16111292 18.21092864 16.91068327 17.039923
 17.01532034 26.77512287 27.04448097 24.79443364 25.92068165 17.06522211
 25.76710958 25.90413758 17.08985471 17.23059219 26.46504435 25.40523573
 26.88564219 27.31735494 26.12492603 26.79216827 17.16946903 26.76535738
 24.32392183 25.988378   24.71437648 24.71696223 26.8348164  27.11051004
 26.85794831 25.97300157 25.34386668 27.4800209  26.73861322 18.06740734
 17.72427428 25.38883571 17.19543599 24.30287039 25.2012012  25.80093749
 25.48871455 20.53381206 24.6343747  26.27156534 27.33244294 27.07913812
 27.47026269 19.00917476 26.60262814 26.53072855 26.18975469 25.76924057
 20.25576131 26.25084361 25.53561283 24.70453505 25.80981956 24.73919242
 20.90102517 26.97318674 19.04721451 26.93651338 27.84069884 18.23747795
 18.88849589 23.38854437 26.24936825 26.49613431 17.07483151 17.05364761
 27.5467706  26.22663338 24.57110045 25.0264056  25.50268729 20.43462518
 26.93656138 16.87864069 26.27874406 16.97508235 27.11177363 26.22303005
 27.12621645 26.70699379 17.7038239  25.08622021 26.35754945 25.104805
 25.73279541 16.93755422 17.76600195 27.02397427 25.13713731 27.05996297
 26.11020221 17.02057891 22.16400103 25.53102551 19.82443113 16.91968613
 16.93755422 18.06761932 25.52517077 26.88707301 16.93755422 26.64637704
 23.49438893 27.1418222  17.0574606  26.51056617 26.58679445 17.27779341
 16.9695968  25.81491077 27.61382906 20.7907708 ]","190    20.0
191    32.0
192    23.0
193    17.0
194    28.0
       ...
375     8.0
376     8.0
377    33.0
378    26.0
379    33.0
Name: swls, Length: 190, dtype: float64"
random_forest,5,3,5.207627107356485,40.33762731445644,6.351191015428244,0.34703704993449813,0.608413546516865,"[17.46023911 26.96651378 25.10841612 25.54121878 25.30487057 26.33852385
 27.15967373 22.02918961 17.76339246 21.83193425 26.69379055 26.75520567
 26.39541164 25.21908857 22.19949768 26.56519979 19.65784048 17.1049726
 25.29931408 23.90742506 26.78175122 25.51547657 22.10174044 23.07163592
 20.34430316 26.61321833 25.7355585  23.87031191 26.77513269 27.62187903
 27.23423138 21.25466107 20.85924225 17.27855457 25.47459214 26.55284263
 26.02158116 25.92916176 25.04959449 22.45594375 27.04358934 26.20564027
 27.04279325 27.47873867 27.16288219 26.1627112  19.23467888 26.62118324
 18.52876851 17.9583675  18.29293527 25.21121844 22.99769999 27.04318126
 17.30626153 17.54174885 26.49618246 25.68469366 25.8417166  27.07630337
 18.07453533 26.83958904 17.03635633 25.30179562 16.98839084 26.05526201
 21.75735056 18.01957959 26.61461412 25.11601124 17.01068217 22.67455102
 21.98907562 24.80537087 17.72334435 16.74733335 26.45577989 26.37172777
 26.53628551 25.53919573 26.40198049 20.087783   27.17933705 26.22640104
 26.41887274 26.1108031  27.14913363 27.14171631 25.92263682 27.01872955
 25.91952231 25.91907202 26.71455181 17.22936486 16.74733335 26.02075083
 18.03185822 24.36785549 16.84134483 25.38030001 23.2470327  26.62284298
 26.4694265  22.30487267 26.96813108 26.92527938 26.56642751 25.93575853
 26.91516125 27.33345633 26.42584587 27.54162575 26.23778126 25.61851875
 27.10144793 21.00344396 25.75244992 25.64786075 26.43310122 25.50227511
 26.99883488 26.49788091 26.94350529 25.82876934 23.28178009 26.96019858
 25.49172967 27.02475566 26.16303919 17.20865813 27.36192256 19.89620223
 22.01664882 26.73770693 26.0516974  22.39687982 26.62303402 26.66844558
 24.79664642 16.89166977 26.5769755  26.32645623 27.76530373 20.07710512
 26.54381956 27.26884236 26.7527182  26.0878167  18.40177874 26.91008772
 18.92986061 17.38145523 18.82181494 19.49105515 18.68154596 21.13038812
 26.46624624 26.12680246 16.89485012 26.8918839  26.56537746 17.30434634
 26.84476629 18.23060191 27.07190271 17.23087178 17.154228   26.64260948
 26.02569963 26.79386443 21.07135337 22.34306353 27.59456743 17.51252097
 17.47188262 26.878559   18.50568363 26.05337691 24.92045026 25.94053137
 27.06615194 27.14941024 18.1095416  25.86373705 17.966755   26.70630651
 24.42375097 24.64174048 26.38993685 27.1255929 ]","380     9.0
381    19.0
382    13.0
383    34.0
384    30.0
       ...
565    31.0
566    26.0
567    28.0
568    34.0
569    29.0
Name: swls, Length: 190, dtype: float64"
random_forest,5,4,4.72320586946393,32.63008274773564,5.7122747437194965,0.4101278117193822,0.6704182277942976,"[25.56071242 19.70587233 16.80266372 18.83348636 19.4099636  21.95689262
 23.76840539 20.97927303 21.45100457 16.81141992 25.39737986 26.07263455
 27.08072963 20.54596369 17.83559528 19.29169335 26.41990528 20.38484024
 24.27882786 16.95368606 24.22479355 20.43125846 27.19897624 26.83312465
 26.45053936 16.9986722  17.07454509 18.88845751 26.34423943 17.49458041
 27.45790437 27.20514492 26.77502041 27.40877632 25.57810979 26.6652558
 24.21037524 19.07471785 27.12652743 26.81162663 27.59448359 17.29724456
 19.84273528 26.63328812 27.63399812 27.34077395 24.3168113  25.12891198
 17.13551511 16.85291239 26.47470987 26.87897686 16.74033973 27.19198766
 22.07751316 25.59196121 26.4662807  26.26625153 25.01859706 25.98718523
 25.895475   26.13522877 26.19290556 16.73863626 25.01131189 21.75032889
 20.49257181 16.74596644 25.20380324 27.31864252 25.92906164 26.63881279
 26.42785097 16.80455602 21.98706388 22.89000979 27.30656537 26.16101538
 16.83831533 24.58445585 23.50058067 25.88312128 19.73998881 18.50550861
 26.37317984 27.52663239 27.30190059 21.84471094 25.94386308 22.19516393
 26.39322769 26.25211432 26.90170555 27.27273663 27.18816408 26.63861603
 27.40770991 27.10689623 27.01034218 16.84915531 21.57240161 17.73497777
 25.89051801 21.35607314 25.76404279 27.03030533 21.33409849 25.69779867
 24.67960926 26.98363416 17.28846098 26.14061695 26.55549851 24.54406701
 25.93883824 26.84590641 16.86728526 26.41209263 27.33241571 22.87713879
 25.40091009 27.37266514 25.20826522 26.65354047 22.80475605 26.65268725
 26.86658935 27.13401692 16.74033973 25.8576483  26.81523897 27.25177904
 25.15862463 26.59018772 26.45933947 26.5322611  27.10749096 26.23805778
 27.54262925 17.81981793 25.017131   26.06244766 26.11247259 23.97173344
 22.46905403 25.61738321 24.6703141  27.10404657 19.55526844 26.94453776
 26.72405997 21.38202801 26.09311352 25.51623408 26.9876296  27.57014838
 26.62618535 20.10028921 24.24976449 17.54083917 27.18120588 26.25702533
 19.92780201 21.23108491 19.95862538 25.81828655 26.72514134 21.42436128
 21.85325719 21.86094586 17.55367093 16.71344432 17.41965368 26.62189796
 24.25279657 25.88005472 24.44775993 26.24219425 24.19065116 20.78052998
 18.34938493 26.97892444 27.48405587 25.32936838 24.57270895 27.39386419
 26.00391785 26.49362306 22.85266944]","570    27.0
571    26.0
572     8.0
573    17.0
574    21.0
       ...
754    28.0
755    33.0
756    28.0
757    27.0
758    14.0
Name: swls, Length: 189, dtype: float64"
random_forest,5,5,5.077265522375758,39.03416768087107,6.247733003327773,0.3511802927221478,0.6155849583468924,"[24.99822797 27.21009569 25.6111344  25.95801285 24.9664873  17.20897906
 22.17884355 26.90268417 25.808829   17.54542036 25.69968875 27.12034254
 26.52109596 19.87943424 26.45132574 18.73516518 17.31681708 17.07297264
 26.71052539 23.3986686  23.52640998 24.37621865 22.21023317 26.84925287
 26.67161117 27.18302825 26.38214164 26.30261351 16.93858902 24.49141192
 26.87571186 22.86404189 24.27439036 25.12508711 18.63429561 24.3546602
 26.45201131 17.63875976 26.545747   25.62727146 20.76517985 26.73386326
 26.14788901 26.0373836  18.61359721 25.67618607 25.42217995 17.48513278
 27.05871704 27.25401793 25.41668856 16.81719901 18.818223   26.57688018
 25.51789568 25.57937564 16.81719901 25.98554629 16.87749791 26.27987242
 25.51446977 26.58067754 25.78354093 19.21703387 25.92389435 17.79550472
 26.66287885 25.03851687 16.81719901 24.39623383 25.23443542 16.85564549
 17.17452463 18.0714742  22.81119921 23.49170741 25.25833421 26.80332656
 25.97285701 16.81719901 24.69170312 26.84837903 26.59609854 18.11437413
 25.67849139 22.88988642 26.96189874 18.54442764 27.15374614 26.7691532
 26.88123979 20.61181347 25.48014356 26.52827582 25.90553444 18.17446079
 16.92428611 24.35298705 26.36893927 26.15541281 21.41461568 26.90414949
 24.46768562 17.1951684  17.25385785 24.81815457 25.94955473 27.23525688
 26.57717819 25.28362397 26.93169556 18.53383705 16.97680403 24.17978689
 26.77164844 27.35038577 19.75561954 25.17496502 17.42163886 25.93075059
 20.95139466 26.08584779 26.29100386 26.64408676 27.05800096 26.79588794
 19.78296679 26.18398943 18.84629126 23.06116741 25.00782043 26.9540456
 17.28204953 26.52303366 26.63080904 26.79905646 25.43965382 25.3917449
 26.95669718 26.13154937 26.22991334 24.29572935 25.56760793 24.40775048
 24.42394579 24.98549748 26.22389044 17.10692009 24.59859519 23.63814564
 25.8929034  22.99604156 25.64480858 24.99070086 25.95948488 26.55591086
 24.49967554 24.93246448 27.30393638 25.31466635 25.15760833 19.79923195
 25.47688829 26.36170036 18.5531134  16.81719901 25.34204233 26.80444623
 25.12364169 16.81719901 26.87428674 26.39022292 23.16536637 26.79421662
 26.2169893  21.2952754  20.85803333 26.58164769 25.38809723 26.69045172
 26.29186611 26.19239357 27.65244059 26.41052218 27.07073328 26.35495396
 26.70622384 26.58369367 17.3017039 ]","759    29.0
760    25.0
761    22.0
762    22.0
763    27.0
       ...
943    24.0
944    31.0
945    29.0
946    25.0
947    13.0
Name: swls, Length: 189, dtype: float64"
