model,n_folds,fold,mae,mse,rmse,r2,r,y_pred,y_test
ridge,5,1,4.258967847063056,28.613746784292772,5.349181879903951,0.5437812906576457,0.7381719870133349,"[27.95532939 23.3884119  25.26872631 26.31504636 17.34250535 23.99154626
 29.50346258 24.91940256 26.54985655 24.78884155 28.67132946 22.6591099
 28.30465647  9.05985801 25.92267922 27.85280467 28.20462518 25.53739346
 18.44969113 23.05055592 25.11784608 22.78694276 27.46312336 26.81100753
 27.13256301 22.38333137 28.33391822 27.34625928 24.7010317  25.54527456
 28.43379075 27.09381193 24.60379519 27.30751836 25.57476158 11.76612427
 26.31778513 25.54789223 26.70966924 15.60634422 28.75035425 13.34139484
 25.83941267 27.74592161 29.75902785 18.70011173 26.59009441 29.35321511
 24.54837903 23.71899237 25.96550847 24.70939114 29.24393157 26.44470892
 23.2828576  28.62268995 25.46664414 25.20225904 21.34781149 26.53360381
 12.6639499  22.99942629 27.92837098 15.2737884  27.79044171 28.21587674
 26.32277833 13.38917236 30.0461862  10.39647435 10.61336641 26.12526392
 18.17362154 24.12781022 25.63878577 15.34013529 29.04228603 22.76598683
 26.65783646 12.55903005 23.83450622 27.13036817 14.41749416 25.2832863
 24.00793327 25.17015303 27.71663699 24.6201987   9.61254141 32.22123729
 13.01300389 28.52527641 23.64429341 24.72802282 27.58390199 31.4368514
 25.09399117 25.21830042 11.481642   21.96171335 30.27985209 25.94449765
 27.96840973 10.42267708 26.06369745 12.29802584 25.93946089 22.43063743
 28.82187324 24.65364104 15.39489019 16.71675148 25.79476381 28.57188384
 20.4909615  27.77028749 26.91248934 22.67126468 21.57269441 28.54699734
 28.14732567  9.15862183 16.32616138 26.25059459 26.98469273 26.68450283
 27.93369619 27.94623569 27.85098506 24.60687283 30.18331754 26.33956268
 24.70774343 14.21469214 27.52444454 23.02480696 26.34613413 18.51984209
 15.55983027 25.30959913 28.02170625 24.90517154 14.60075491 26.5458448
 23.72661011 21.66954141 28.38657208 24.37543467 29.8153018  31.12232509
 26.85736603 27.93191656 28.95908398 30.40750113 20.1807691  27.91583662
 10.22983845 13.37561022 25.01987761 29.44528998 23.15705748 26.70439751
  8.58924489 10.89810646 14.47199485 12.52944978 26.71457336 28.14482069
 21.12743232 13.30450685 24.48687298 12.88901121 24.26551825 23.3604767
 13.27285086 28.80317913 25.10092338 22.08762677 17.47465495 19.92924045
 27.67637623 13.9295964  26.53153493 27.9357369  10.44956562 19.91154979
 29.01728229 26.43238777 26.7922093  28.56049861]","0      29.0
1      28.0
2      16.0
3      30.0
4      15.0
       ...
185    19.0
186    20.0
187    34.0
188    25.0
189    30.0
Name: swls, Length: 190, dtype: float64"
ridge,5,2,3.8786087708996426,23.96892227600909,4.895806601164827,0.5583262964755924,0.7521875857953346,"[27.38848736 28.85110013 23.56119172 20.40550071 27.24405192 20.55995872
 29.30320385 12.07668558 24.6561322  20.27766089 23.4476886  27.95946318
 15.5549963  25.84057346 26.99590414 29.04655827 28.21068712 29.0360511
 25.58079522 27.84521784 26.60746952 19.50926632 13.32327119 25.13585652
 28.13976908 26.91784888 28.07636657 27.37562536 28.34101918 23.75744639
 24.48103508 27.93217564 25.97840343 26.29766462 24.72145494 27.45418451
 27.50427794 25.92234893 25.47560379 28.18709744 25.63398924 25.3821601
 27.78818371 23.04625999 26.05673819  9.72309949 21.65976499 28.54040339
 28.88527722 24.32889691 30.52390846 27.65186181 26.63921494 28.02011818
 22.55553493 11.73974133 26.96790928 12.00707852 27.40685986 23.01546644
 23.1033322  26.41902218 28.97172794 22.17970558 26.33828005 12.3288257
 26.85210522 24.99415632 17.17728509 27.01908378 20.37639181 27.81427979
 26.96211579 22.11669084 24.60661568 18.04831543 12.06393122 18.10379404
 15.27830771 28.18512366 26.18551132 27.16668846 28.4428003  12.12160823
 24.68434836 25.43139996 20.21267489 23.76251168 27.62556857 26.40118875
 24.60521936 28.65255145 25.10165187 28.2006514  21.1505433  27.90193905
 21.18779703 26.74466131 24.65155677 20.96684356 26.46004055 26.13828632
 29.62789032 23.71472157 24.55487341 27.61718187 26.63537515 20.70787835
 17.12557165 23.6358207  19.07089206 25.94482817 25.7657872  25.93745034
 26.49882477 25.71379693 25.07552961 22.59133914 26.86121638 30.1625216
 27.48435136 26.50691007 26.84591565 24.86261175 23.01013436 26.26118623
 22.64383724 23.8446623  25.76247455 25.70543483 23.50812766 25.854646
 24.68642424 26.17525328 22.33122105 27.57955251 28.17315093 26.91800034
 27.18840741 19.34978071 27.94491285 25.31890927 23.42899059 11.83209515
 27.57423082 27.97051784 23.93168087 25.98383816 28.64113022 26.74624694
 27.29155942 13.07102403 26.6138311  15.52950068 27.04106977 29.08845747
 28.81447218 27.35322899 17.57617162 27.34729033 24.35801027 26.00337946
 22.82269388 12.26363509 21.03864471 29.1399991  21.57984394 27.34702847
 26.87308815  9.25134033 29.33252515 24.4684411  26.36776969 13.863949
 13.89285461 17.85262167 26.47914249 25.49170518 11.48235563 25.01876644
 23.27544605 29.29545859 18.92261606 28.31497831 27.70239794  8.69551537
 10.51183989 25.8106902  28.85929278 23.54586021]","190    20.0
191    32.0
192    23.0
193    17.0
194    28.0
       ...
375     8.0
376     8.0
377    33.0
378    26.0
379    33.0
Name: swls, Length: 190, dtype: float64"
ridge,5,3,4.559926448784402,34.31415567305591,5.857828580033382,0.4445416399279509,0.6764264270304375,"[12.49605421 29.71469428 21.04868714 28.97462535 31.49549112 29.19412833
 29.06899851 22.50858714 11.96898035 14.2555784  29.66841841 25.44888303
 26.44027142 22.15449218 23.31423964 28.39114156 12.16166789  7.5131576
 19.71865072 29.12343995 29.55116199 26.02965621 21.29196781 20.68035249
 28.89388656 26.29028284 27.36669179 28.94987466 27.68348457 26.69540249
 26.7739605  18.86603743 26.51059862 12.02488573 23.77057876 25.79060053
 29.25354499 23.68132847 32.512082   22.97511588 28.28395447 26.05684809
 25.2152858  26.80918241 27.38272553 28.92474874 23.0950654  29.36878901
 21.25926722 17.35300713 10.35803656 27.81519698 14.99942819 27.14351827
 18.3140178  10.15637684 31.13791646 27.58077997 24.93586327 29.40747789
 26.24550518 30.58166278 21.33095551 31.1741721   9.55988728 25.21590074
 23.47564735 11.32218942 24.76298024 27.78230556  9.7124625  25.21327603
 30.34262629 25.3011015  11.30392726 13.18868584 24.25453282 26.72572259
 24.66533257 25.19381232 27.31013704 17.80879921 28.68850256 26.36176138
 23.90305045 24.5457546  28.34792592 28.6538308  29.512183   27.51915758
 25.71852923 23.42350592 25.91547331 14.84029094  9.98742005 27.58411791
 13.03707577 26.59321025 11.25358716 26.073003   29.00085629 24.5246007
 26.98607614 14.81652759 27.96269567 30.27993642 28.85233294 21.10891527
 28.19331858 28.38645363 25.42447471 30.26661906 24.41221918 27.35234609
 28.79877326 31.60005338 21.88267167 27.21850264 23.6287757  32.42055264
 27.20959661 26.16592469 26.19014464 28.85447177 28.33317274 25.82482428
 26.63945707 27.21037472 26.55691691 11.56099696 27.84341282 11.91115004
 24.70689015 26.37890189 27.91993207 21.9271035  30.3621976  28.07415033
 27.25445705 14.35400401 27.02145415 25.82337987 30.14589731 15.6577252
 22.88629538 32.24107686 24.80201367 27.39800746 18.11989638 27.71046783
 26.2610769  15.14678665 11.2023325  17.85337834 12.45471764 25.05460072
 27.88314656 25.43989108  8.91293032 26.66434367 23.31338954 18.52845046
 29.67374551 12.69174928 31.2295131  17.26211802 20.08569084 27.5154968
 21.79279179 26.29388522 22.14368626 20.67241561 26.67933131 12.67360975
 11.63611614 29.9244606  11.70480397 30.01029254 23.30811298 25.45449722
 27.392764   31.12468999  7.54591887 24.00921018 16.08867686 27.57250363
 19.47920343 27.75597464 27.96853071 28.98219821]","380     9.0
381    19.0
382    13.0
383    34.0
384    30.0
       ...
565    31.0
566    26.0
567    28.0
568    34.0
569    29.0
Name: swls, Length: 190, dtype: float64"
ridge,5,4,4.302913261715178,28.39954287245861,5.32912214838979,0.4866056384270466,0.7016741919526418,"[24.29105756 27.4054062  14.26155707 11.24547531 15.36229848 23.83926392
 25.6779566  17.81746421 25.91621665 14.32734845 27.67508755 26.37547472
 29.1425135  21.93253214 15.079352   10.16237742 27.54466717 24.81939977
 24.77240162 15.17803909 20.89979888 20.72587686 27.4561209  26.13009279
 26.08667275 13.51755862 19.74366372 12.11097568 25.15616896 13.5854176
 28.21108287 29.35255474 27.00212031 25.67720461 26.01875677 25.40189559
 28.52822971 13.21070459 28.17689648 25.5679758  28.74543676 11.14188951
 13.11754738 29.18300188 30.12173834 28.767802   21.47638445 29.22973655
 19.00010381 10.08696862 25.02654484 28.39680713 12.24113759 27.7275414
 12.33450759 30.22156279 27.64954952 29.96584739 24.6513318  26.1942595
 22.81998628 24.37713782 27.37944703 15.31002392 24.63515655 27.5625357
 12.7851912  11.58537864 25.60367367 30.80807662 24.75115792 26.40374366
 25.55287358 10.64863846 26.34228388 26.13183308 27.18659796 29.23060654
 19.93714934 27.03039862 30.31045126 29.18085221 14.47543914 15.91278061
 26.92704859 27.79691521 27.84676634 25.50937693 24.58962934 19.80477121
 26.02817838 29.24964549 28.89381478 29.56730329 29.18530117 27.02807303
 27.47081509 26.76779523 28.34756444 20.70011503 28.7197606  12.938566
 27.16719982 17.19067045 27.27618831 24.5191934  14.38170372 24.36111028
 27.05244421 25.06354433 19.71460743 22.80974611 27.24553773 22.82699668
 26.33261045 22.87038103 13.62453563 22.32230308 27.65468356 21.03197303
 25.64274718 28.00311943 24.14527307 26.18841882 25.60567829 28.23015935
 26.08265739 28.91675667  7.5613254  26.89456843 28.59848054 29.52857141
 26.37648168 24.57993034 21.47384944 26.32793545 26.52317372 25.23608195
 29.73861106 10.74308568 24.61060809 28.448032   28.29163699 22.06636843
 23.72224715 25.51176897 22.50784564 28.68543747 22.49926431 27.41133503
 26.61032593 27.30485662 29.2549966  27.75051368 26.64189549 30.23047018
 29.80780295 13.35483831 23.3147455  15.38173506 29.14530693 27.42289786
 11.9507097  27.98297691 17.64010592 30.03961878 28.47670503 22.54702577
 12.77502395 29.30557324 14.04882967 12.63243757 13.82059255 24.80387712
 22.48586957 26.9802091  27.79477135 23.497046   27.85803275 21.82964003
 14.85648437 30.14328771 30.03207577 26.60285791 22.4366459  28.15834086
 29.51321682 26.47179347 23.70801906]","570    27.0
571    26.0
572     8.0
573    17.0
574    21.0
       ...
754    28.0
755    33.0
756    28.0
757    27.0
758    14.0
Name: swls, Length: 189, dtype: float64"
ridge,5,5,4.4953724901816585,32.412436655777626,5.693192132343474,0.46124564932200773,0.6795989217445682,"[26.41607751 28.51788434 22.8437877  24.03668416 24.69596013 13.0898812
 23.91181342 25.2659332  27.44799991 18.52512446 26.45343481 27.32806153
 25.84378232 22.07723627 24.9743834  16.45094028 16.45327282 19.64625903
 26.34999511 26.61687933 23.60207561 23.14708256 26.9693719  27.96568948
 28.1800511  24.27230497 27.5997776  27.19516606 15.26373185 25.47371655
 29.43779245 26.01075349 19.10680051 26.1087823  25.19827962 19.83033209
 25.45046172 21.17356009 24.98299098 24.5021461  24.46090305 30.54993985
 23.78967199 22.39726744 21.1669081  24.01008644 27.52066172 17.28418754
 28.87686375 28.96324537 30.31134745 17.38502987 22.05502035 29.59915874
 27.22128125 25.24650799 11.70940013 27.84462443 12.93437831 26.76282528
 27.71646359 27.94872765 25.08995911 19.18815959 27.63228849 16.27279795
 28.37520655 24.34249653 11.49968979 23.47323959 28.18720215 17.27335542
 20.23211839 15.87445597 14.52328594 27.53220276 27.60578613 27.03839927
 25.5075933  15.46961457 19.35226864 28.35714536 25.02773556 11.5784217
 22.21338104 16.20721519 29.41058661 12.07799367 29.14810725 27.72225036
 29.34106737 10.63696871 29.9899295  27.32983358 27.00511124 18.02969057
 18.32683565 16.9260414  24.02947553 28.71584883 13.67605468 26.49728687
 27.23792447 14.73344535 16.29381342 27.3465454  25.04240626 27.06790964
 27.48845336 23.85839024 29.93290716 17.24597324 11.01553901 23.03203929
 30.17012256 21.76515539 21.30303036 24.53791282 17.12208808 30.82259731
 21.99236582 22.98113099 26.52324465 23.57104223 27.05413739 30.80341481
 22.43557647 24.55237749 13.42182692 26.35093191 22.23386123 31.30792569
  7.26135741 25.5012396  28.70454347 27.5821192  25.03513552 26.25356098
 27.38213125 25.34668341 28.01584332 18.69288548 27.57091758 23.90706307
 25.38548412 17.87725256 28.47308454 18.17367604 24.98544661 19.69094688
 26.45740838 24.75056213 21.86507137 21.57607951 24.21211222 24.11291678
 26.09537996 23.20316988 33.38566938 26.1889306  24.3725187  22.04805793
 23.24919445 27.61635273 12.00563915 10.52107893 26.13050487 29.91916507
 21.67185481  9.82963684 26.36951531 25.12047562 23.45394171 27.6683288
 29.45274427 26.13253653 15.19963303 25.83024739 25.87266699 29.4306963
 23.29876843 23.5449601  33.38656723 25.97620674 27.56337894 28.64908479
 26.93159748 28.81517566 20.79603781]","759    29.0
760    25.0
761    22.0
762    22.0
763    27.0
       ...
943    24.0
944    31.0
945    29.0
946    25.0
947    13.0
Name: swls, Length: 189, dtype: float64"
