model,n_folds,fold,mae,mse,rmse,r2,r,y_pred,y_test
ak_struct_reg,5,1,4.9354886556926525,38.17211793817108,6.178358838572835,0.39138224330075366,0.6270072151018756,"[26.306885 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885
 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885 15.238526
 26.306885 26.306885 26.306885 26.306885  8.674948 26.306885 26.306885
 22.054913 26.306885 26.306885 26.306885 25.76957  26.306885 26.306885
 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885
 15.172966 26.306885 15.569031 26.306885 14.402399 26.306885 15.299727
 26.306885 26.306885 26.306885 15.177443 26.306885 26.306885 16.964373
 26.306885 26.306885 22.507008 26.306885 26.306885 26.306885 26.306885
 26.306885 26.306885 24.326765 22.826769 13.895712 15.123747 26.306885
 14.323935 26.306885 26.306885 26.306885 15.144378 26.306885 15.177443
 14.116995 26.306885 15.177443 20.18831  23.526205 15.367784 26.306885
 26.306885 26.306885 15.507708 26.306885 26.306885 14.564664 26.306885
 26.306885 26.306885 26.306885 26.306885 15.177443 26.306885 14.604388
 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885
 14.661409 14.545007 26.306885 26.306885 26.306885 15.079046 26.306885
 14.816334 26.306885 26.306885 26.306885 26.306885 26.306885 25.773973
 26.306885 15.568245 26.306885 26.306885 26.306885 26.306885 26.306885
 26.306885 26.306885 15.177443 15.326437 23.928272 26.306885 26.306885
 26.306885 26.306885 26.306885 22.496107 26.306885 26.306885 19.507753
 15.481511 26.306885 26.306885 26.306885 15.177443 14.744272 26.306885
 26.306885 26.306885 26.306885 26.306885 26.306885 20.130749 26.306885
 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885 26.306885
 16.821344 26.306885 25.119305 14.895123 26.306885 26.306885 26.306885
 25.09748  14.646016 14.511614 15.344311 13.867644 26.306885 26.306885
 26.306885 15.177443 24.537943 17.009794 16.673107 20.784193 15.177443
 26.306885 26.306885 26.306885 14.538466 26.306885 26.306885 18.045351
 26.306885 26.306885 23.062416 15.253199 26.306885 26.306885 26.306885
 26.306885]","0      29.0
1      28.0
2      16.0
3      30.0
4      15.0
       ...
185    19.0
186    20.0
187    34.0
188    25.0
189    30.0
Name: swls, Length: 190, dtype: float64"
ak_struct_reg,5,2,3.9212863871925756,22.515541640637558,4.745054440218527,0.5851076427732401,0.7835922819905463,"[26.306885  26.306885  26.306885  15.197341  26.306885  26.306885
 26.306885  14.679508  26.230377  15.202174  26.306885  26.306885
 14.9620495 26.228422  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  14.542948  14.444625  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.209656
 26.306885  26.306885  26.306885  15.021709  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  15.081443  26.306885  14.640371  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  14.6295
 26.306885  26.306885  15.527933  26.306885  25.787586  26.306885
 26.306885  26.306885  26.306885  15.177443  13.880232  15.490697
 26.306885  26.306885  26.306885  26.306885  26.306885  14.1136465
 26.306885  26.306885  15.044256  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  15.115179  26.306885
 15.177443  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 15.177443  25.937225  14.698908  26.306885  25.788376  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 15.000407  24.99405   26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  14.1516285
 26.306885  26.306885  15.371035  15.190124  26.306885  26.306885
 15.291897  14.63799   26.306885  13.970757  26.306885  26.306885
 26.306885  26.306885  15.038891  26.306885  26.306885  15.246946
 26.306885  13.863812  23.371918  26.306885  26.306885  26.306885
 26.306885  15.177443  26.306885  26.306885  26.306885  15.177443
 15.177443  26.306885  26.306885  26.306885  14.99583   26.306885
 26.306885  26.306885  15.177443  26.306885  26.306885  14.957096
 14.286748  26.306885  26.306885  26.306885 ]","190    20.0
191    32.0
192    23.0
193    17.0
194    28.0
       ...
375     8.0
376     8.0
377    33.0
378    26.0
379    33.0
Name: swls, Length: 190, dtype: float64"
ak_struct_reg,5,3,3.770565098210385,20.706196599421045,4.55040620158476,0.6648196704581899,0.8498706310846725,"[14.380814  26.306885  15.398506  26.306885  26.306885  26.306885
 26.306885  26.306885  14.354393  15.2473955 26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  13.06723   14.477907
 26.306885  26.306885  26.306885  16.597633  17.868439  15.340441
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  25.824818  26.306885  13.852833  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 22.90009   26.306885  26.306885  26.306885  14.4333515 26.306885
 26.306885  26.306885  17.713797  26.306885  15.177443  26.306885
 15.177443  14.085331  26.306885  26.306885  15.177443  26.306885
 26.306885  26.306885  26.306885  26.306885  13.984389  26.306885
 26.306885  15.705302  26.306885  26.306885  14.595857  26.306885
 26.306885  26.306885  15.0071    26.306885  26.306885  26.306885
 15.320504  26.306885  26.306885  14.781977  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  14.956873  15.177443  26.306885
 15.260338  26.306885  15.090049  26.306885  26.306885  26.306885
 26.306885  24.913559  26.306885  26.306885  26.306885  16.166647
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  14.991171  26.306885
 26.306885  26.306885  26.306885  15.344315  26.306885  14.844191
 26.306885  26.306885  26.306885  15.177443  26.306885  26.306885
 26.306885  15.177443  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 15.258696  26.306885  14.098032  26.306885  14.06578   15.373905
 26.306885  26.306885  13.817885  26.306885  26.306885  14.881702
 26.306885  15.177443  26.306885  26.306885  15.177443  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  14.598875
 15.177443  26.306885  15.177443  26.306885  26.306885  26.306885
 26.306885  26.306885  14.9006    26.306885  15.390692  26.306885
 26.306885  26.306885  26.306885  26.306885 ]","380     9.0
381    19.0
382    13.0
383    34.0
384    30.0
       ...
565    31.0
566    26.0
567    28.0
568    34.0
569    29.0
Name: swls, Length: 190, dtype: float64"
ak_struct_reg,5,4,3.9516543736533514,23.684653001397315,4.866688093703696,0.5718393299026848,0.7641018463519738,"[26.306885  26.306885  15.22139   15.570006  15.94488   26.306885
 26.306885  14.709893  26.306885  14.414905  26.306885  26.306885
 26.306885  26.306885  26.306885  13.917269  26.306885  25.790642
 26.306885  14.585288  26.306885  18.536827  26.306885  26.306885
 26.306885  14.524174  15.177443  16.108774  26.306885  14.990531
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  14.052606  26.306885  26.306885  26.306885  15.177443
 15.640411  26.306885  26.306885  26.306885  26.306885  26.306885
 15.177443  14.357427  26.306885  26.306885  15.177443  26.306885
 25.665356  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  15.421162  26.306885  14.142823  26.306885  26.306885
 13.81773   15.177443  26.306885  26.306885  26.306885  26.306885
 26.306885  14.341635  26.306885  20.210072  26.306885  26.306885
 14.473868  26.306885  26.306885  26.306885  13.7866535 15.606405
 26.306885  26.306885  26.306885  26.306885  26.306885  15.654538
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  15.177443  26.306885  13.913189
 26.306885  15.025141  26.306885  26.306885  14.996908  26.306885
 26.306885  26.306885  15.049673  26.306885  26.306885  24.98227
 26.306885  26.306885  14.243979  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  13.453936  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  15.177443  26.306885  26.306885  26.306885  17.11737
 26.306885  26.306885  26.306885  26.306885  25.122604  26.306885
 26.306885  26.306885  26.306885  23.675747  26.306885  26.306885
 26.306885  15.177443  26.306885  13.308501  26.306885  26.306885
 15.177443  26.306885  15.250347  26.306885  26.306885  26.306885
 15.184984  26.306885  13.689928  15.955278  14.903217  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 15.138664  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  15.482178 ]","570    27.0
571    26.0
572     8.0
573    17.0
574    21.0
       ...
754    28.0
755    33.0
756    28.0
757    27.0
758    14.0
Name: swls, Length: 189, dtype: float64"
ak_struct_reg,5,5,4.082919680883014,23.82400614296903,4.880984136725813,0.6040011710191543,0.7974229546592992,"[26.306885  26.306885  26.306885  26.306885  26.306885  15.12009
 15.212927  26.306885  26.306885  15.177443  26.306885  26.306885
 26.306885  26.306885  26.306885  14.460435  26.306885  17.443642
 26.306885  26.306885  25.970787  15.454498  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  15.177443  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  14.478711
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  15.2842655 26.306885  26.306885  15.085334
 26.306885  26.306885  15.520826  15.147095  14.905289  26.306885
 26.306885  26.306885  14.232002  26.306885  14.043663  26.306885
 26.306885  26.306885  26.306885  15.177443  26.306885  23.57301
 26.306885  26.306885  14.414748  26.306885  26.306885  26.306885
 26.306885  26.306885  15.177443  26.306885  26.306885  26.306885
 26.306885  14.85488   17.482649  26.306885  26.306885  15.083982
 26.306885  26.306885  26.306885  14.119987  26.306885  26.306885
 26.306885  14.974504  26.306885  26.306885  26.306885  14.381288
 15.081949  26.306885  26.306885  26.306885  15.177443  26.306885
 26.306885  15.138983  14.815107  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  13.150878  14.485949  26.306885
 26.306885  26.306885  16.173265  26.306885  15.197128  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  15.177443  26.306885  26.306885  26.306885
 14.048592  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  15.769622  26.306885  26.306885
 26.306885  15.568326  26.306885  14.738785  26.306885  26.306885
 15.388688  26.306885  26.306885  15.229546  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.185862
 26.306885  26.306885  16.159319  14.1495075 26.306885  26.306885
 26.306885  14.401596  26.306885  26.306885  26.306885  14.496352
 26.306885  26.306885  14.5897665 26.306885  26.306885  26.306885
 26.306885  26.306885  26.306885  26.306885  26.306885  26.306885
 26.306885  26.306885  14.299225 ]","759    29.0
760    25.0
761    22.0
762    22.0
763    27.0
       ...
943    24.0
944    31.0
945    29.0
946    25.0
947    13.0
Name: swls, Length: 189, dtype: float64"
