model,n_folds,fold,mae,mse,rmse,r2,r,y_pred,y_test
ridge,5,1,4.892226444687332,40.29977625865223,6.348210476870803,0.3574587749689421,0.6169633532987111,"[25.34303979 29.01300631 27.62339412 27.17231084 29.27681739 18.92509649
 29.95591583 25.0441508  28.41977445 24.83776527 27.4971378  31.3500735
 20.65875731  7.28647694 27.62901813 31.17788546 26.38793606 26.16580211
  3.04256236 27.32116111 25.26831128 21.19304455 28.12120091 25.65829989
 29.26549324 20.88698588 25.66270461 27.01926032 25.05065242 28.96472483
 29.77081999 24.68537358 25.77757215 22.63844179 25.86858175 15.99820289
 26.23517484 15.41960952 26.80736102 14.4490299  32.87825769 13.99981461
 31.67813351 28.869211   28.73000642 13.99063292 29.57659506 27.23162901
 20.67333693 20.55986399 31.99757682 21.10098827 30.48112577 27.86610413
 25.19910384 22.75648164 28.04066628 25.40090905 21.53802822 28.22856902
  8.41424924 17.71544888 29.91347427 11.30562488 25.77780354 32.27476244
 28.599639   20.56331517 25.76572594 14.06231154 12.11521533 25.42967217
 16.92061259 24.43673382 20.50291584 16.43827833 29.70431727 21.93675694
 29.30225472 14.93383899 25.17220216 26.29896706 11.86837636 26.11690002
 25.87451748 24.50769959 33.70035894 24.88343364 14.45160558 28.90052252
 12.78033249 27.00468436 17.68259372 21.96214731 28.25373462 28.65855796
 21.06771029 27.63882743  6.42008527 17.74183673 29.59524497 26.56837368
 27.24320824 15.47432025 22.89522028 16.86036217 26.53614445 28.43384653
 27.87584638 27.94314854 19.2480007  17.61276404 26.60564323 23.79883127
 20.05625677 30.34490354 28.10250693 23.7161772  20.86653899 29.34661214
 31.52331389 14.84257295 15.35838067 22.2450002  27.71437609 23.51436587
 25.42850461 33.87734398 28.38103151 25.34431657 33.68062502 24.85549621
 22.54124171 14.82685798 30.54975261 26.67017898 28.69519186 17.07858636
 15.9737499  28.53440431 25.39802455 29.23798177 23.2240343  22.77222387
 21.95497789 24.67086356 25.08196221 26.79289886 30.24787129 26.48006235
 27.07494399 25.78680333 27.70155178 25.93945483 17.8600689  30.83505564
 20.68875869  6.18728365 26.89153321 26.44539483 20.81234493 24.99708616
 12.46590318 13.86788184 12.78956673  8.31496384 27.20047378 23.93760579
 19.72935116 15.16829807 19.00445203 17.48202439 24.7502996  19.94955125
 20.12264136 28.90021375 27.81290172 22.30604558 14.82483602 23.78886676
 26.50998851 17.12475197 29.09729698 25.17263407 15.39397296 21.16857781
 29.61156453 31.70960228 24.04141536 31.91522027]","0      29.0
1      28.0
2      16.0
3      30.0
4      15.0
       ...
185    19.0
186    20.0
187    34.0
188    25.0
189    30.0
Name: swls, Length: 190, dtype: float64"
ridge,5,2,4.9531478159103015,39.331316989090354,6.271468487450954,0.2752444920541324,0.5590396669139532,"[27.78155872 14.02815869 26.25294668 20.96454636 25.11489212 19.03833927
 30.43663106 12.45108242 21.14829611 22.52142744 24.15639474 26.27911678
 22.40355598 24.16035051 18.89374791 25.49405941 27.85053678 33.45731173
 20.27097425 27.94821525 22.52473612 15.7543858  11.07328504 20.33098202
 29.99706319 26.99086675 19.02858198 25.96443988 21.32244993 32.02189051
 25.49728979 24.97455691 29.20531276 22.39728674 24.16384274 25.17758962
 30.91282513 25.98881146 28.1511832  28.33787923 21.22715047 23.11346703
 27.87518685 23.1440352  30.33347337 18.07107658 24.83884913 28.24631116
 26.86875871 24.71650909 32.39733559 26.44042778 27.2920825  26.31055258
 15.84373257 14.50049822 23.64711831  8.58144466 25.78233763 23.0220231
 29.69555188 26.05674564 26.22607786 24.12354977 29.82039932  9.1023811
 27.75564919 23.25784519 14.42403394 29.26277429 30.06038064 26.61404466
 28.35286255 18.92579979 22.76225771 23.82305556  7.38823525 11.8026337
 22.43030669 25.1778928  24.45546126 23.71353547 27.02886043 18.10488811
 26.66592392 26.56883885 14.30039764 22.55140875 23.10527901 27.14796705
 29.12726794 25.35254069 25.7443542  26.64260116 18.38082749 26.09330372
 21.56351851 25.84823533 26.03847849 15.25017009 27.85735351 29.08699319
 30.5455268  23.18097386 23.37795689 31.39842127 26.89666907 23.96489318
 12.66448481 15.06982627 18.99303251 21.17885762 25.19761523 25.53657494
 26.01890351 30.18081923 24.01954636 27.0105833  26.2759506  24.913944
 26.97387787 17.99300474 23.5260893  28.06511542 27.74024153 28.94808452
 20.75992418 21.9266034  26.04010064 26.41606301 21.23161208 21.5055674
 23.12761609 27.37110136 19.07131335 27.32473641 27.56114311 22.00369352
 16.84422628 19.37178415 26.55293481 25.07821267 29.42810779 15.75747993
 27.20122644 13.3867927  21.14073162 23.73226108 26.80554388 28.60887416
 26.97206434 11.55216095 31.53007068 14.55655938 29.57358575 26.07320769
 21.98216047 26.25352752 21.99367232 31.26642471 26.56676672 22.7785634
 23.9369163  12.02993343 20.88967998 27.95923005 20.28392373 28.8842275
 26.06223733 16.59592724 30.81691291 26.7898531  20.4473485  10.04869179
 10.67692218 19.99351622 21.12787863 24.94987941  7.02468938 26.55093499
 24.60439171 26.1625346  17.64637801 28.90761096 30.00187624 18.7762859
 10.67907894 26.86296343 27.96815534 22.0581242 ]","190    20.0
191    32.0
192    23.0
193    17.0
194    28.0
       ...
375     8.0
376     8.0
377    33.0
378    26.0
379    33.0
Name: swls, Length: 190, dtype: float64"
ridge,5,3,5.0956899943787715,41.83042312200864,6.467644325564652,0.3228725063249793,0.5937628772986687,"[16.36351599 29.08929426 22.1126314  30.02178183 28.96926506 27.12467249
 26.95695161 21.24951704 14.60339055 15.58836011 28.56244466 30.27105343
 29.71559564 23.30721429 30.47313058 30.64844616 22.96857873 11.59014137
 19.98532062 30.64773107 30.18269978 24.96598488 20.79415495 22.44621045
 22.75866488 27.69754813 25.11285661 26.31201173 27.22962816 31.88680675
 28.24787682 20.93282979 30.5046473  10.57655339 20.84606994 24.40911713
 32.35106566 24.60043727 31.70948958 22.62139763 28.76213377 25.78687861
 25.62378385 29.64472297 29.18085604 23.86075378 16.6984439  31.07429364
 20.05204977 17.1422983  12.70764613 34.18216294 22.8656044  24.06135477
 13.89384697 10.83942794 28.59598822 23.02473153 22.35239987 30.50004268
 25.96341867 25.35702081 17.01472194 26.41141339  8.85297553 24.6495671
 21.78276366 17.16535438 25.65661474 25.28031301 13.26817961 28.02258618
 21.16737468 25.31346628 10.97405483  9.37248867 27.8406935  27.58773987
 23.66553534 25.97459856 28.80163821 15.13436253 29.84370087 27.79515507
 27.36615169 25.27399886 28.97248417 31.56626367 29.29642107 23.9025852
 28.75521906 24.45134375 26.27377045 14.75069641 14.23000728 28.69891946
 14.09344137 24.77901879 15.61527472 25.59385127 27.9744249  25.17681677
 23.71094844 15.48454113 30.01645917 32.60642248 23.11436996 21.19441872
 30.86421324 27.68863147 29.78669516 32.42374661 25.22804431 20.18631837
 30.40815822 28.01817683 26.25122761 23.75110639 29.33829294 32.06724041
 25.25461385 25.92077458 29.07661761 25.39320749 25.40570713 26.6014315
 27.43862357 28.40414167 21.03018662 17.22756935 30.16078372  8.42535474
 25.27966572 25.5348063  27.30376399 25.8936789  29.66206445 25.37811934
 28.48468704 14.80751804 31.1728752  29.69682735 26.12971796 17.01212489
 28.01930516 30.39021124 27.43843781 23.79600137 23.86397124 23.53458618
 24.86102506 14.12499424 18.29806553 22.05814399 13.73886719 21.33176077
 28.49695986 21.17622964  4.32653706 25.945878   23.85506603 14.57697424
 27.93295124 18.38751816 27.73803986 15.46674575 14.67511814 28.07400517
 23.90921221 25.72989669 24.4868683  26.83058348 28.20153659 13.0144756
 15.04679422 28.08148701 12.48515551 33.68882998 24.31088405 15.48274949
 28.91803358 26.83808162 13.11766458 22.99492625 24.12099867 24.3102055
 14.27973937 28.96796469 28.99275857 27.94955736]","380     9.0
381    19.0
382    13.0
383    34.0
384    30.0
       ...
565    31.0
566    26.0
567    28.0
568    34.0
569    29.0
Name: swls, Length: 190, dtype: float64"
ridge,5,4,4.84944073606181,38.94777052688776,6.2408148928555605,0.29591944933265846,0.5984941910488106,"[26.6068014  24.33689127 12.86339055 17.86570026 13.79753156 26.96544286
 25.72749308 13.33959655 27.69398475 16.26707823 27.94362297 30.0273972
 28.85913958 27.76452349 24.5777677  14.9904052  29.01648755 16.94466452
 25.20356444 11.75822916 26.55876699 16.88919631 32.13837673 28.14139214
 23.80163141  5.43281126 17.59542213 15.47317774 32.68911207 13.23628229
 29.65202859 32.34003954 29.74886632 27.09773373 20.57970387 26.16574299
 32.48890175 12.52559151 28.8387635  27.73815662 30.70159656 11.76604468
 15.9405731  31.99536939 29.8102352  28.81066786 27.14509805 26.16036677
 13.9858363  15.28881688 29.93370935 28.96784149  7.65138042 29.78612197
  9.16714591 24.57999047 29.09792201 30.03463396 25.54850454 30.79087648
 26.50218648 24.13082871 25.91091436 16.6674446  21.38154752 24.16647581
 20.75965721 20.40169559 27.87400308 29.26467487 31.83711549 28.76262344
 30.82755178 10.61019028 18.68908391 23.62367753 29.70990338 29.70839716
 14.29136372 28.46247969 28.81560752 28.76079704 21.33468843 18.62843074
 23.29495689 28.27284333 27.99243781 28.34980131 24.92594273 20.49222437
 27.95167025 26.2355105  25.27677555 29.27118746 29.76506706 29.25387598
 26.75550438 27.125157   28.61311368 16.62993655 28.80921293 14.20046897
 23.80559823 14.00880772 27.18683256 27.46788645 12.5705043  28.18934276
 29.78647187 28.1421862  15.38152577 22.86195129 27.28715693 13.29231558
 27.47027657 25.68319083 15.94863172 18.41894879 30.82528651 23.57666825
 23.2393002  29.87356529 21.4919042  27.6791628  29.28686641 27.01779285
 27.61818551 30.61588512  9.1866554  27.66188339 27.6329276  28.25807825
 23.79057348 28.83695953 30.3099067  27.37470383 26.84612743 23.96875233
 29.43454745 15.01736132 22.89561555 28.25090235 23.11716173 20.85474659
 18.52650707 22.54743603 22.56225034 29.88389106 15.88313633 24.93315799
 32.32765147 25.61880342 25.05173283 22.02039911 29.28085479 29.20014597
 27.86816134 14.79607867 29.86146287 14.77597217 29.51783812 23.72656225
 16.45875089 27.35411904 12.01073809 27.02239679 25.49765628 23.76052398
 22.8821451  34.75739759  9.57775655 16.04756879 11.44246929 25.71286199
 29.01275387 18.13662792 26.99149733 26.3195754  27.30895059 18.98000957
 12.09793456 27.90917041 27.60524815 22.76916759 28.78703937 29.43739432
 24.86069312 25.28025592 17.7057676 ]","570    27.0
571    26.0
572     8.0
573    17.0
574    21.0
       ...
754    28.0
755    33.0
756    28.0
757    27.0
758    14.0
Name: swls, Length: 189, dtype: float64"
ridge,5,5,5.004240529411417,40.037627855942034,6.327529364289195,0.3345009377945011,0.5829875163934022,"[24.39080132 28.34010237 23.57498776 24.75090745 27.91586457 11.32150509
 25.43546141 24.76857552 22.33932105 19.98909067 29.29953845 26.04320502
 22.89411149 27.49401907 25.30239502 20.00016122 22.69352678 20.12943702
 26.85966056 23.49845993 19.55822625 26.95170482 23.03877744 28.85967425
 28.59131215 25.90708542 22.24388261 26.80128941 11.24875445 26.3903718
 27.08494261 27.67398634 42.09884684 29.2197849  27.37742471 18.62204908
 25.46435249 19.85412867 30.67587503 21.64621778 22.76898352 28.06644092
 22.64190151 23.2761296  24.29608686 27.80984244 24.12987503 18.12893985
 27.10166394 29.10512443 22.59311674 17.78806474 19.12449777 24.84760082
 27.38267826 15.73833056 13.61679506 24.04865264 20.09173405 22.70717168
 26.46032426 25.74287133 26.03314242 16.73778803 24.6632015  19.30520993
 26.7731129  23.84304026 13.72010967 24.45758381 30.01101337 24.07911515
 19.66503956 15.05566594 14.86091585 23.23591202 22.66920072 26.53315098
 25.56746097 14.94674042 28.41591996 23.54036182 25.80967813  9.15826012
 25.2174187  24.42000711 29.17882291 11.8821098  25.87835555 26.86718716
 29.2533383  12.83715462 27.9498797  29.2596003  26.77223573 18.04112421
 19.02217081 25.26425011 25.59447457 27.16602156 12.86057734 28.71446135
 25.40003016  9.57646491 14.27233914 23.52876043 27.26767814 29.30716456
 17.94227979 20.83349795 23.03111695 16.75632982 14.39306128 26.77967944
 29.17837527 27.76464659 21.03036384 26.12407409 17.25147368 28.84160089
 22.68771965 20.44059871 28.84856553 24.5733184  29.39237354 27.97798077
 20.49465628 25.66156303 17.71510893 27.7972104  22.61318395 28.40778228
  7.20281267 27.77520819 30.30864439 25.8410899  26.32410934 24.56364923
 27.4100761  25.2188473  27.88798255 17.73726902 27.36375532 25.30390058
 22.54309443 21.54031214 26.34714383 27.7442051  25.81590461 20.83982097
 24.5103367  23.43169236 21.96366007 21.10683536 20.23038595 23.6667097
 30.02719626 25.06344593 21.70357775 28.68422954 24.9708813  23.72489782
 23.94650186 25.80667093 16.31903275 15.239274   19.15822263 31.52427196
 25.27223586 13.06405113 27.51016944 26.2241295  25.39488099 26.43146211
 30.02016453 34.25899885 16.8885601  27.4938336  30.76646816 26.77622486
 26.90372056 24.76975543 28.54674226 26.91653357 24.81533597 30.75811724
 24.99146469 24.22763972 22.84327338]","759    29.0
760    25.0
761    22.0
762    22.0
763    27.0
       ...
943    24.0
944    31.0
945    29.0
946    25.0
947    13.0
Name: swls, Length: 189, dtype: float64"
