model,n_folds,fold,mae,mse,rmse,r2,r,y_pred,y_test
ridge,5,1,4.962897550452654,41.14198921220927,6.414202149309707,0.34403049835910904,0.6087544232852969,"[26.45333052 28.81966793 24.02815673 24.49713191 28.04421709 23.30850687
 30.04942465 24.12665164 27.45753422 27.98477658 24.36994812 31.86592626
 21.90174093  8.51049336 26.74963156 31.94987747 28.65120644 26.15243251
  3.72570919 28.95204621 25.22339484 22.24826966 27.82776113 24.41247398
 29.47839919 21.84340848 27.27044464 27.95465313 25.49219674 29.15807263
 29.91151026 21.49266154 23.47161146 21.10962878 24.17049987 15.51621119
 26.28348357 15.39328185 28.36430678 15.53264621 35.85934198 13.29604917
 29.98078066 29.44268672 29.24588     9.91402784 30.43633841 28.50021584
 23.30038421 19.36440656 30.84939065 18.97646455 30.9942029  28.52590936
 25.31518353 22.90256834 30.16583799 27.49901085 20.55979245 27.67146601
  7.37904287 17.32304635 30.53080525 14.92989329 26.14671847 30.43277248
 27.11058992 19.45186203 23.80647054 15.5925619  13.04265969 23.95695883
 18.2776118  21.62795568 22.7863477  15.91121742 29.16738654 22.83244818
 29.66254971 13.86224174 28.01307204 26.02425692 11.18693913 25.33876244
 27.31954781 26.52491507 32.95647101 24.35210532 13.23211728 28.06101205
 15.55823967 24.82663768 17.29464062 25.62252679 29.62223665 28.14365169
 20.1808878  30.95822494  6.23787675 19.09273595 32.52405182 27.45726037
 29.35564752 14.6834914  22.12958516 16.5638947  25.10811141 25.16200171
 26.38276904 26.00714592 18.78500372 16.91404792 28.96799529 25.54083621
 22.9737888  29.98130003 25.04449757 22.46691637 22.22945995 28.59138808
 30.37141469 15.50448417 17.54735645 24.02847689 27.18379363 24.45979408
 24.41395328 35.18425133 29.28123597 24.3287867  32.74664187 25.84797005
 22.29688058 16.78000623 30.52625904 27.3881925  28.50552344 19.47615397
 16.71352041 28.5531712  22.62656497 30.53742095 26.37960346 21.40577527
 21.13991296 24.33552823 24.89090038 24.0730675  31.05987277 28.84518519
 28.40000187 26.02435444 29.61652627 26.68579314 16.97558449 32.36044612
 23.21269532  5.89107377 25.68141854 27.22924802 16.80729041 25.83558673
 12.29710773 12.69109706 13.7658146   9.15229911 29.61489843 26.02148209
 19.85722546 17.54590192 19.05575991 14.99052563 23.04243376 20.87962576
 18.23376564 26.82097079 25.91059543 23.63437203 15.78796734 23.92916358
 26.16038435 20.66726159 28.27651663 24.84241702 18.0243598  19.13906022
 28.73155011 32.09823308 22.60223658 31.81626368]","0      29.0
1      28.0
2      16.0
3      30.0
4      15.0
       ...
185    19.0
186    20.0
187    34.0
188    25.0
189    30.0
Name: swls, Length: 190, dtype: float64"
ridge,5,2,4.8202007789063455,37.66093420437124,6.136850511815587,0.3060245222254825,0.5798507570345153,"[28.50221634 13.71031967 26.80749617 19.42604445 25.62548794 17.85546343
 29.08042309 12.60153175 22.94886292 24.67320768 22.85202325 25.8949313
 22.72512422 26.21471915 22.10283353 23.32634105 27.78692254 32.37005693
 25.36252065 28.24356158 26.10249905 15.43056789 13.31210288 24.12232764
 30.16516832 28.47953694 19.4982609  27.39918511 19.93968112 31.98389849
 26.8548631  23.56644875 26.0007323  23.92938497 21.07981378 26.46843135
 29.11060222 26.0083433  23.89615576 26.90389034 23.0428705  23.03866024
 28.93396798 22.30633558 30.48373045 14.69840555 21.05292665 28.7601834
 25.53893839 22.46217283 30.69541546 25.13322638 27.95991271 25.86451563
 16.840449   16.2256108  20.42025713  9.03215142 23.78858033 19.21061733
 29.70188873 25.47594681 27.00679727 25.10792479 27.19092449  8.71145208
 27.28903648 24.81005292 16.05370742 26.81529662 29.40839229 28.16346814
 25.87534911 21.34714525 25.05182407 19.38197512  8.61683562 14.22844392
 20.43848171 26.37579165 24.18506477 23.14836659 28.64359526 15.41749743
 30.55560709 27.42134182 13.03757938 22.62067956 22.73834062 26.92457831
 28.22939253 28.485093   24.03256711 28.83772762 16.98454112 27.00298305
 20.84416989 25.2104543  27.060852   16.29989752 28.85032193 30.0542825
 29.77646448 22.95648568 25.48179623 31.60588705 28.03198936 23.04370304
 15.87576372  9.75912724 17.64986204 20.86230208 25.74869306 26.45267397
 26.52912174 30.1754227  23.00474275 25.1837772  24.41108025 27.27174278
 26.90804359 22.2988978  23.43612625 29.37119993 26.39746358 28.58327916
 22.1215923  22.56713836 24.87915215 28.80313295 20.71488998 20.97884511
 24.19563741 26.64434908 21.94368613 26.24201027 28.74688497 24.6764421
 14.34954882 18.83550251 25.42284197 24.77729005 30.01837207 15.71803838
 30.17573348 18.6416211  19.08223444 25.28509464 29.85209928 28.88181156
 27.02528077 12.98441357 29.87152396 13.28393183 30.16551392 25.762773
 21.69170489 27.73083523 23.18843762 28.43612946 26.27933462 26.15784982
 21.65789991 13.37006219 19.12925929 28.19483015 22.10685451 29.44865193
 27.28606575 15.95648402 31.88846268 21.61851294 18.36393439 11.23651262
  8.84063687 19.09060791 20.03399405 24.59023814  7.61804968 26.75514452
 23.72308205 26.28090812 19.9598792  28.03303053 29.58933683 18.40221179
  8.76083352 25.64318809 26.50467747 21.17326847]","190    20.0
191    32.0
192    23.0
193    17.0
194    28.0
       ...
375     8.0
376     8.0
377    33.0
378    26.0
379    33.0
Name: swls, Length: 190, dtype: float64"
ridge,5,3,5.058208562391389,42.60435149580933,6.527200892864363,0.31034458666929876,0.5888518585361242,"[19.52829758 29.19258509 22.9320584  30.18322578 27.54079213 29.27449387
 28.25051841 16.83575135 13.1774116  14.91212423 28.35806485 29.81334669
 27.99337156 24.4108655  27.09164061 30.48124823 21.55673873 14.10957104
 20.26498382 30.40712677 28.74345006 21.39455157 18.2695471  23.23407957
 22.074594   27.7775005  23.22226568 28.7692974  30.39695427 30.67277447
 27.71963933 18.62982021 31.86173044  9.36331061 20.69994276 25.75153118
 30.82039195 22.65938546 32.36865863 23.78066599 28.76888698 27.43382275
 25.81979077 29.53006249 28.09450463 25.07156894 13.79994481 30.68348744
 21.06003981 21.72523887  9.40740298 35.82783372 22.83326483 25.36334455
 15.30512981 10.56554079 26.28743588 24.64627935 21.6066147  27.53260691
 23.97963531 27.25386754 14.19853917 25.741587    8.14432511 23.26672944
 22.15932473 15.75384035 24.75178512 23.16143575 10.5793508  28.03460304
 19.20336331 25.25437102 11.15298767  7.91218221 29.44346348 26.71186778
 24.72905377 25.1159207  31.41973658 12.04660879 28.7389779  27.01955414
 26.778912   23.11741619 28.03957745 31.14451462 28.41134581 24.13997707
 28.62645268 23.86171423 24.48696804 12.71665784 13.1759476  28.94545433
 17.10942748 23.60082961 16.63199669 24.23947769 29.06246957 23.30498298
 23.14189225 13.74505966 28.13636495 30.17422771 23.12277975 19.88930411
 27.03732608 26.67052914 28.88757049 32.32798675 23.7535029  22.26379929
 32.79183809 31.02287311 27.99041457 23.52396232 26.23236123 31.42228365
 24.8237563  27.57451522 29.47642548 26.6878525  27.71833386 27.40296754
 24.12809005 26.80967694 16.75627349 14.96389658 29.17060062  8.16751911
 23.22227741 24.2923933  24.67344901 25.57351328 27.98896475 26.87866033
 28.44121094 13.74316569 31.98522442 25.35087902 24.71783442 16.76690781
 26.22094434 32.01208825 26.37043714 25.80567194 24.24197368 21.71049863
 20.24866761 13.35528573 17.65233128 20.29106873 11.6533439  20.00602476
 28.23698714 21.68466013  5.89351462 27.39798576 23.09524916 18.44334935
 26.57349136 19.11706426 27.45007476 14.21179696 14.95023682 27.16636719
 21.49232921 23.48782462 24.34273334 23.03235822 28.16519078 13.15658028
 14.96774341 30.02475045 12.95326518 33.22580568 27.45061001 20.23220826
 28.29617052 25.42472096 14.1692115  25.38344053 22.77072076 23.58881655
 15.17078043 28.14953987 31.26803766 27.4739319 ]","380     9.0
381    19.0
382    13.0
383    34.0
384    30.0
       ...
565    31.0
566    26.0
567    28.0
568    34.0
569    29.0
Name: swls, Length: 190, dtype: float64"
ridge,5,4,5.022635506301922,39.464546583169955,6.282081389409879,0.2865774006003008,0.5860117958185086,"[26.96766959 27.96815231 16.67361971 19.74203701 16.97631107 27.2239001
 25.58938775 13.51807832 28.82006361 14.60197319 24.9440548  26.90161672
 33.13303695 28.84356575 27.11222896 14.50561223 28.15791189 16.18097609
 27.48783624 15.07227221 25.12539539 19.23188246 29.95312497 24.60708514
 21.41555694  7.99971377 17.12040238 15.24814114 34.88482465 13.4487897
 26.76210838 33.64499018 31.15026538 27.97984919 24.17112703 26.33073537
 34.544088   13.72826311 28.8935336  27.45050421 29.87891299 12.1924707
 16.7758932  30.99423621 28.27573559 27.7119454  25.9119741  23.86602342
 16.81392534 14.2693914  29.56484045 27.92541144 10.20240074 31.60398804
 14.45855284 28.2826497  26.86211037 29.40556481 27.04280378 28.03990166
 29.24448463 22.53242631 22.99497307 17.39459239 21.22443297 24.51695996
 19.13918796 20.69736584 24.63120952 30.15574351 30.74568713 27.98052736
 31.46722029 10.943294   17.52636317 22.46669905 30.56753614 25.74355464
  8.78391722 28.52124732 27.86997343 28.74239196 21.12811773 22.04337057
 24.55547658 29.51004917 27.88557341 27.22904058 30.02103478 18.12282518
 28.50891804 25.28226027 24.61064284 31.63761108 29.59627123 26.90727994
 26.50370787 29.68935551 28.83363167 19.36616063 25.08474907 15.68510347
 22.4282075  15.13627536 30.77927603 29.17837398 11.78761064 26.70679285
 30.94020013 29.31553213 15.01730308 24.61318653 26.94319876 13.18001473
 29.75213678 22.15754631 17.36384566 18.88437464 29.5758411  23.55786868
 19.6135153  28.14421098 20.47545351 27.12876696 25.45996197 27.162288
 25.24701512 30.78394837  9.43179695 24.46078744 26.60265791 28.72489944
 20.06865896 27.65269344 27.15001014 30.04638653 27.99399448 25.38730086
 29.79756723 10.50738583 23.31034873 25.4580958  25.94394418 22.37644882
 19.76590179 23.82069021 25.35861426 30.14090987 16.21430587 23.71318088
 30.17017896 27.34521417 27.19518963 23.76783352 28.64712245 29.7235311
 29.15285325 15.46040088 29.73109423 16.61346913 30.15564185 26.43025013
 14.75378242 27.56684149 15.33770269 26.39094356 25.32661661 24.39926069
 20.75114273 32.53566346 10.3576269  15.30310599 10.58813898 25.30862646
 28.12831584 20.35125977 30.47642036 25.25051757 23.41685372 18.3074157
 13.00302107 27.30491134 27.3395992  18.62150134 27.58516595 30.93621939
 25.47757477 25.92693395 18.06149677]","570    27.0
571    26.0
572     8.0
573    17.0
574    21.0
       ...
754    28.0
755    33.0
756    28.0
757    27.0
758    14.0
Name: swls, Length: 189, dtype: float64"
ridge,5,5,5.002240743063817,38.722185330749284,6.222715269940388,0.3563660135689912,0.601337081245124,"[25.35445659 29.82801417 21.51874113 19.6446331  30.1418834  11.11330944
 26.7970512  22.24825012 24.61262413 22.02104849 27.7790452  29.46484162
 23.29499695 22.08990962 24.4814555  18.35820775 21.98836542 21.16620093
 26.42725135 23.60090916 20.05904637 22.46873609 20.67536357 26.55833723
 29.54598521 25.73316927 21.58405929 27.04614874 12.29800055 26.2915178
 23.71888137 28.17081596 41.03879947 28.54779944 29.83597736 20.87989581
 25.45739274 21.30589255 30.6503372  19.92292232 21.98535164 28.84675074
 23.59290372 24.84820804 23.75908927 27.84729801 25.19493602 18.0374221
 27.58922733 31.05921087 21.10312807 15.91587771 16.28971511 25.9229115
 27.48189593 19.2685701  11.82082599 23.4312911  18.69799255 21.91956103
 28.07599934 26.72632768 25.81378456 20.30540443 26.90744545 19.95971434
 27.39894869 22.93031989 15.21487243 26.17038544 28.6366228  23.69749116
 23.01664033 13.29611892 14.3976568  24.79336051 23.84953505 25.71699598
 25.02055607 14.81764697 29.28176387 25.71733971 27.64576371 12.33646339
 24.23451233 21.17989091 29.97048722 13.11558413 25.29427066 27.51874947
 29.22813437 15.53807415 25.61751665 27.62829933 28.60992019 18.16320701
 16.52949171 29.49942119 27.85648338 24.46904324 11.5747763  29.15907439
 28.56458078  8.06422163 15.26640097 22.29156307 25.93784838 29.67290446
 17.44315073 22.04040811 23.88396122 18.82314509 14.27647282 26.02636378
 32.02035427 28.21112463 21.0866043  29.73027118 17.48016163 25.35702169
 24.41915751 18.20524226 30.29340655 25.48134445 30.33639062 26.65904488
 20.76208369 24.49335619 18.02157124 27.77545739 22.71861098 29.35400832
  8.12099508 29.00712963 31.0288351  27.54402467 23.89679706 24.19072421
 26.96272366 21.75733686 31.51238054 18.82577439 26.80295048 26.07295913
 23.18254956 20.71382154 27.55367578 23.77638759 27.44533383 21.26626955
 20.52327805 23.90277292 22.53313164 18.67213815 19.69514396 24.05248072
 29.15547595 25.28697468 20.35490968 27.56586916 26.93293434 21.75452754
 22.9485743  27.43042762 16.42452261 15.83881253 19.73895675 32.55112034
 24.30788231 12.16255468 28.33276402 27.12079058 25.5785715  29.13502269
 29.18168388 33.86244969 16.62428381 26.84344955 28.41700807 27.22055258
 26.59825596 26.59661206 29.20230638 28.04805147 24.92088362 29.54516596
 24.42534196 20.61183797 18.5350755 ]","759    29.0
760    25.0
761    22.0
762    22.0
763    27.0
       ...
943    24.0
944    31.0
945    29.0
946    25.0
947    13.0
Name: swls, Length: 189, dtype: float64"
